Time	"Time Code"	"Country Name"	"Country Code"	"Annual freshwater withdrawals, total (billion cubic meters) [ER.H2O.FWTL.K3]"	"Children out of school, primary [SE.PRM.UNER]"	"CO2 emissions (kt) [EN.ATM.CO2E.KT]"	"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]"	"Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]"	"Population, total [SP.POP.TOTL]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Surface area (sq. km) [AG.SRF.TOTL.K2]"	"Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]"	"Urban population [SP.URB.TOTL]"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%) [SG.VAW.REFU.ZS]"
2013	"YR2013"	"Palau"	"PLW"	""	"13"	"256.69"	""	""	""	""	"20920"	"23.138"	"460"	""	"16080"	""
2013	"YR2013"	"Panama"	"PAN"	""	"30229"	"10718.641"	"42.0741236883233"	"0.390712212547444"	"77.413"	"12.3878621983117"	"3838462"	"33.948"	"75420"	""	"2535381"	""
2013	"YR2013"	"Papua New Guinea"	"PNG"	""	""	"6186.229"	""	""	"65.082"	"14.3539732939333"	"7592865"	"87.022"	"462840"	""	"985402"	""
2013	"YR2013"	"Paraguay"	"PRY"	""	""	"5434.494"	"0.00496845034033885"	"0"	"72.786"	"16.3304463576031"	"6465740"	"39.803"	"406752"	""	"3892182"	""
2013	"YR2013"	"Peru"	"PER"	""	"145229"	"57153.862"	"46.1197441640306"	"2.66170183422976"	"74.298"	"29.410194953079"	"30565716"	"23.011"	"1285220"	""	"23532239"	""
2013	"YR2013"	"Philippines"	"PHL"	""	"325630"	"98128.92"	"73.5564531129594"	"13.0922328807164"	"68.68"	"23.9706935753414"	"98481032"	"54.097"	"300000"	""	"45205748"	"1.6"
2013	"YR2013"	"Poland"	"POL"	""	"94550"	"302278.144"	"89.5062857421566"	"8.91831583568058"	"77"	"24.7060531256064"	"38040196"	"39.471"	"312680"	""	"23025350"	""
2013	"YR2013"	"Portugal"	"PRT"	""	"6514"	"45426.796"	"41.0891676890806"	"31.1493252067915"	"80.7219512195122"	"9.49060999628464"	"10457295"	"37.648"	"92220"	""	"6520333"	""
2013	"YR2013"	"Puerto Rico"	"PRI"	""	"48769"	""	""	""	"79.1673902439024"	"20.0823567357602"	"3593077"	"6.31399999999999"	"8870"	""	"3366210"	""
2013	"YR2013"	"Qatar"	"QAT"	""	"6885"	"85023.062"	"100"	"0"	"77.739"	"115.377724549565"	"2250473"	"1.215"	"11610"	""	"2223130"	""
