Time	"Time Code"	"Country Name"	"Country Code"	"Children out of school"	"CO2 emissions (kt)"	"Non-renewable lectricity production (% of total)"	"Renewable electricity production excluding hydroelectric (% of total)"	"Life expectancy (years)"	"Population"	"Rural population"	"Urban population"	"Surface area (sq. km)"
2013	"YR2013"	"France"	"FRA"	"31408"	"334096.703"	"7.76769042787094"	"4.57658318463611"	"82.219512195122"	"65998660"	"13770620"	"52228040"	"549087"
2013	"YR2013"	"French Polynesia"	"PYF"	""	"821.408"	""	""	"76.257"	"273528"	"105081"	"168447"	"4000"
2013	"YR2013"	"Gabon"	"GAB"	""	"5280.48"	"58.3038869257951"	"0.524809160305344"	"64.686"	"1817271"	"233410"	"1583861"	"267670"
2013	"YR2013"	"Gambia, The"	"GMB"	"95817"	"432.706"	""	""	"60.452"	"1859324"	"784263"	"1075061"	"11300"
2013	"YR2013"	"Georgia"	"GEO"	"915"	"7858.381"	"17.7751267521622"	"0"	"72.832"	"3776000"	"1635574"	"2140426"	"69700"
2013	"YR2013"	"Germany"	"DEU"	"5263"	"757312.507"	"59.2383224450782"	"20.4390586859838"	"80.490243902439"	"80645605"	"18403327"	"62242278"	"357340"
2013	"YR2013"	"Ghana"	"GHA"	"541782"	"14620.329"	"36.0111879418849"	"0.0233082122601197"	"61.86"	"26346251"	"12449131"	"13897120"	"238540"
2013	"YR2013"	"Gibraltar"	"GIB"	""	"491.378"	"100"	"0"	""	"33831"	"0"	"33831"	"10"
2013	"YR2013"	"Greece"	"GRC"	"40327"	"69482.316"	"74.7277375074413"	"14.0123262247435"	"81.2853658536585"	"10965211"	"2483072"	"8482139"	"131960"
2013	"YR2013"	"Greenland"	"GRL"	""	"553.717"	""	""	"71.8304878048781"	"56483"	"8161"	"48322"	"410450"
2013	"YR2013"	"Grenada"	"GRD"	"200"	"304.361"	""	""	"73.227"	"105909"	"67892"	"38017"	"340"
2013	"YR2013"	"Guam"	"GUM"	""	""	""	""	"78.938"	"160375"	"9039"	"151336"	"540"
2013	"YR2013"	"Guatemala"	"GTM"	"237111"	"13633.906"	"32.8326612903226"	"20.2520161290323"	"72.562"	"15596214"	"7905565"	"7690649"	"108890"
2013	"YR2013"	"Guinea"	"GIN"	"422168"	"2299.209"	""	""	"58.301"	"11536615"	"7551291"	"3985324"	"245860"
