Time	Time Code	Country Name	Country Code	GDP (current US$)
2013	YR2013	Paraguay	PRY	28965906502.2306
2013	YR2013	Peru	PER	201217661645.509
2013	YR2013	Philippines	PHL	271836123724.555
2013	YR2013	Poland	POL	524234322596.975
2013	YR2013	Portugal	PRT	226073492966.495
2013	YR2013	Puerto Rico	PRI	102450000000
2013	YR2013	Qatar	QAT	198727747252.747
2013	YR2013	Romania	ROU	191549024910.604
2013	YR2013	Russian Federation	RUS	2297128039058.21
2013	YR2013	Rwanda	RWA	7621923307.70325
2013	YR2013	Samoa	WSM	804808525.537223
2013	YR2013	San Marino	SMR	1865374402.54912
2013	YR2013	Sao Tome and Principe	STP	302925489.683914
2013	YR2013	Saudi Arabia	SAU	746647127413.333
2013	YR2013	Senegal	SEN	14851057084.776
2013	YR2013	Serbia	SRB	45519650911.4138
2013	YR2013	Seychelles	SYC	1328091523.8003
2013	YR2013	Sierra Leone	SLE	4920343194.99503
2013	YR2013	Singapore	SGP	304454327499.401
2013	YR2013	Sint Maarten (Dutch part)	SXM	..
2013	YR2013	Slovak Republic	SVK	98478349315.3252
2013	YR2013	Slovenia	SVN	48116256926.0807
2013	YR2013	Solomon Islands	SLB	1129787201.75701
2013	YR2013	Somalia	SOM	6486974549.28725
2013	YR2013	South Africa	ZAF	366829390478.954
2013	YR2013	South Sudan	SSD	14940338983.0508
2013	YR2013	Spain	ESP	1361854206549.39
2013	YR2013	Sri Lanka	LKA	74294206490.5894
2013	YR2013	St. Kitts and Nevis	KNA	788163888.888889
2013	YR2013	St. Lucia	LCA	1489928888.88889
2013	YR2013	St. Martin (French part)	MAF	..
2013	YR2013	St. Vincent and the Grenadines	VCT	721207148.148148
2013	YR2013	Sudan	SDN	72065940085.772
2013	YR2013	Suriname	SUR	5145757575.75758
2013	YR2013	Sweden	SWE	578742001487.571
2013	YR2013	Switzerland	CHE	688504173431.454
2013	YR2013	Syrian Arab Republic	SYR	..
2013	YR2013	Tajikistan	TJK	8506674782.75471
2013	YR2013	Tanzania	TZA	44413616116.055
2013	YR2013	Thailand	THA	420333333333.333
2013	YR2013	Timor-Leste	TLS	5649813360.66395
2013	YR2013	Togo	TGO	4080929201.27925
2013	YR2013	Tonga	TON	450686353.674011
2013	YR2013	Trinidad and Tobago	TTO	26578524198.305
2013	YR2013	Tunisia	TUN	46251061734.4741
2013	YR2013	Turkey	TUR	950579413278.706
2013	YR2013	Turkmenistan	TKM	39197543859.6491
2013	YR2013	Turks and Caicos Islands	TCA	..
2013	YR2013	Tuvalu	TUV	37509122.0727128
2013	YR2013	Uganda	UGA	24599550742.1417
2013	YR2013	Ukraine	UKR	183310146378.081
2013	YR2013	United Arab Emirates	ARE	390107556160.654
2013	YR2013	United Kingdom	GBR	2739818680930.19
2013	YR2013	United States	USA	16691517000000
2013	YR2013	Uruguay	URY	57531233350.9101
2013	YR2013	Uzbekistan	UZB	57690453460.6205
2013	YR2013	Vanuatu	VUT	801787555.861121
2013	YR2013	Venezuela, RB	VEN	371005379786.566
2013	YR2013	Vietnam	VNM	171222025117.381
2013	YR2013	Virgin Islands (U.S.)	VIR	3764000000
2013	YR2013	West Bank and Gaza	PSE	12476000000
2013	YR2013	Yemen, Rep.	YEM	40415235701.9871
2013	YR2013	Zambia	ZMB	28045460442.1876
2013	YR2013	Zimbabwe	ZWE	15451768700
				
				
				
Data from database: World Development Indicators				
Last Updated: 11/14/2018				
