Time	"Time Code"	"Country Name"	"Country Code"	"Children out of school"	"CO2"	"NR electricity"	"Life expectancy"	"Population"	"Urban population"	"Area"	"GDP"	"Compulsory education"	"Labor force"	"Agricultural land"
2013	"YR2013"	"Libya"	"LBY"	""	"9.08113628697363"	"100"	"71.592"	"6195970"	"78.756"	"1759540"	"10571.8507632837"	"9"	"52.9570007324219"	"8.72671266353706"
2013	"YR2013"	"Liechtenstein"	"LIE"	""	"1.39376662865831"	""	"82.2609756097561"	"36834"	"14.334"	"160"	"173528.150454463"	"9"	""	"35"
2013	"YR2013"	"Lithuania"	"LTU"	"1.45187997817993"	"4.27365723711993"	"57.546274323683"	"73.9146341463415"	"2957689"	"66.986"	"62675"	"15693.7867282599"	"9"	"58.2840003967285"	"46.1332269644994"
2013	"YR2013"	"Luxembourg"	"LUX"	"4.79542016983032"	"18.4983197143698"	"76.7982693347756"	"81.8"	"543360"	"89.574"	"2590"	"113625.13289956"	"12"	"58.2879981994629"	"50.5328185328185"
2013	"YR2013"	"Macao SAR, China"	"MAC"	"10.2393398284912"	"2.05052089031521"	""	"83.355"	"575841"	"100"	"30.3"	"89524.8443607146"	"10"	"71.0640029907227"	""
2013	"YR2013"	"Macedonia, FYR"	"MKD"	"11.3710603713989"	"3.78052346658226"	"73.8595339678372"	"75.207"	"2075739"	"57.189"	"25220"	"5211.49920049925"	"13"	"55.7519989013672"	"49.9603489294211"
2013	"YR2013"	"Madagascar"	"MDG"	""	"0.135748886401402"	""	"64.713"	"22961146"	"33.878"	"581800"	"461.723072174234"	"5"	"87.8410034179688"	"71.1842557579924"
2013	"YR2013"	"Malawi"	"MWI"	""	"0.0738835216940527"	""	"61.02"	"16577147"	"15.966"	"94280"	"332.922303904319"	"8"	"77.4899978637695"	"61.4128128977514"
2013	"YR2013"	"Malaysia"	"MYS"	"0.089699998497963"	"7.96151399932217"	"91.4158498857952"	"74.797"	"29706724"	"72.93"	"328550"	"10882.2891042102"	"6"	"63.7830009460449"	"23.8593821336174"
2013	"YR2013"	"Maldives"	"MDV"	""	"2.74980938457009"	""	"76.571"	"397397"	"37.685"	"300"	"8291.48529494197"	""	"66.7710037231445"	"26.3333333333333"
2013	"YR2013"	"Mali"	"MLI"	"37.4722290039063"	"0.0623116483019779"	""	"56.556"	"16477818"	"38.398"	"1220190"	"803.893575679405"	"9"	"69.8669967651367"	"33.7660528278383"
2013	"YR2013"	"Malta"	"MLT"	"0.596719980239868"	"5.49231747999258"	"98.4451354953354"	"81.7463414634146"	"425967"	"94.279"	"320"	"23816.6669706827"	"11"	"52.7910003662109"	"31.96875"
2013	"YR2013"	"Marshall Islands"	"MHL"	""	"1.94487905593545"	""	""	"52793"	"74.946"	"180"	"3614.13066126191"	"9"	""	"63.8888888888889"
